code,code,name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
3786,3786,Avenat,109720.0,199957.0,96390.0,110186.0,187376.0,158409.0,220696.0,138940.0,143461.0,113370.0,199848.0,113718.0,133213.0,121449.0,97975.0,134565.0,198817.0,113718.0,263204.0,62744.0,46991.0,146238.0,145217.0,57205.0,146742.0,47797.0,111468.0,113831.0,122004.0
1311,1311,Avshalom,122335.0,213787.0,120379.0,115193.0,286431.0,167325.0,255116.0,70797.0,260279.0,123675.0,216105.0,126459.0,64235.0,136907.0,105512.0,220457.0,212833.0,126459.0,269858.0,144503.0,146338.0,228457.0,227436.0,143719.0,155659.0,147860.0,124084.0,126572.0,85649.0
3759,3759,Adora,89927.0,180163.0,71182.0,86462.0,232217.0,138615.0,200902.0,52934.0,206064.0,93576.0,180054.0,93925.0,66956.0,101655.0,65383.0,166242.0,179024.0,93925.0,307863.0,58390.0,66227.0,174243.0,173222.0,63608.0,126949.0,67750.0,91675.0,94037.0,70873.0
113,113,Addirim,90477.0,48716.0,101152.0,101301.0,83753.0,46532.0,69455.0,144800.0,54152.0,95118.0,48607.0,88510.0,178423.0,72995.0,111327.0,16518.0,47576.0,88510.0,419330.0,135214.0,137049.0,24518.0,23497.0,134430.0,64228.0,138572.0,90773.0,83151.0,127864.0
1068,1068,Adamit,143504.0,54618.0,154179.0,147789.0,46583.0,97184.0,18268.0,197827.0,85757.0,141606.0,55771.0,141538.0,231450.0,126023.0,164354.0,88071.0,54740.0,141538.0,472358.0,188241.0,190076.0,64672.0,64027.0,187457.0,111387.0,191599.0,143800.0,136178.0,180892.0
1123,1123,Adderet,63290.0,153526.0,49960.0,63755.0,205580.0,111978.0,174265.0,54516.0,179427.0,66939.0,153417.0,67288.0,68538.0,75018.0,42708.0,139605.0,152387.0,67288.0,309445.0,33369.0,46024.0,147606.0,146585.0,36387.0,100312.0,47547.0,65038.0,67400.0,48534.0
446,446,Udim,34502.0,69494.0,41212.0,32945.0,136342.0,23032.0,99690.0,82850.0,110189.0,26762.0,71812.0,29823.0,134429.0,15808.0,59647.0,73936.0,68539.0,29823.0,375336.0,91220.0,93055.0,85092.0,88770.0,90436.0,11366.0,94578.0,30565.0,29881.0,65914.0
4010,4010,Odem,197730.0,133488.0,208405.0,208554.0,56921.0,153570.0,98687.0,252054.0,82067.0,202371.0,133378.0,195764.0,285676.0,180249.0,218580.0,103391.0,132348.0,195764.0,466168.0,242467.0,244302.0,97046.0,96369.0,241683.0,167772.0,216935.0,198026.0,190404.0,235118.0
1046,1046,Ohad,114306.0,205757.0,112350.0,107163.0,278402.0,159296.0,247087.0,62767.0,252249.0,115645.0,208075.0,118430.0,56206.0,128877.0,97483.0,212427.0,204803.0,118430.0,261829.0,136473.0,138308.0,220428.0,219407.0,135689.0,147629.0,139831.0,116054.0,118542.0,77620.0
2710,2710,Umm al-Fahm,75973.0,46838.0,86648.0,86797.0,87159.0,32028.0,67577.0,130296.0,72706.0,80614.0,46729.0,74006.0,163919.0,58491.0,96823.0,24555.0,45699.0,74006.0,404826.0,120710.0,122545.0,32555.0,31534.0,119926.0,49724.0,124068.0,76269.0,68647.0,113360.0
2024,2024,Umm Al-Qutuf,66607.0,54113.0,77282.0,77431.0,106167.0,20887.0,74852.0,120930.0,80014.0,71248.0,54003.0,64640.0,154552.0,49125.0,87456.0,40047.0,52973.0,64640.0,395460.0,111344.0,113179.0,48048.0,47027.0,110560.0,36388.0,114701.0,66902.0,59281.0,103994.0
1358,1358,Umm Batin,107343.0,197579.0,88598.0,103878.0,249633.0,156031.0,218318.0,67769.0,223480.0,110992.0,197470.0,111341.0,10825.0,119071.0,82799.0,183658.0,196440.0,111341.0,247995.0,107705.0,109539.0,191659.0,190638.0,106920.0,144365.0,111062.0,109091.0,111453.0,75332.0
1108,1108,Omen,87564.0,45803.0,98239.0,98388.0,76209.0,43620.0,66542.0,141887.0,46608.0,92205.0,45694.0,85598.0,175510.0,70083.0,108414.0,13605.0,44664.0,85598.0,416418.0,132301.0,134136.0,21605.0,20584.0,131517.0,61315.0,135659.0,87860.0,80238.0,124952.0
680,680,Omez,50202.0,65103.0,60876.0,61025.0,117157.0,19592.0,85842.0,104525.0,91005.0,54842.0,64994.0,48235.0,138147.0,33385.0,71051.0,51183.0,63964.0,48235.0,379055.0,94938.0,96773.0,59183.0,58162.0,94154.0,24641.0,98296.0,50497.0,42875.0,87589.0
31,31,Ofaqim,109059.0,199296.0,90315.0,105595.0,251350.0,157748.0,220035.0,48232.0,225197.0,112709.0,199187.0,113057.0,29154.0,120788.0,84515.0,185375.0,198156.0,113057.0,266234.0,109421.0,111256.0,193375.0,192354.0,108637.0,146081.0,112779.0,110807.0,113170.0,63085.0
1294,1294,Or HaGanuz,159419.0,69053.0,170094.0,170243.0,11994.0,115259.0,39608.0,213742.0,56020.0,164060.0,70206.0,157453.0,247365.0,141938.0,180269.0,65080.0,69176.0,157453.0,488273.0,204156.0,205991.0,58735.0,58058.0,203372.0,129461.0,207514.0,159715.0,152093.0,196807.0
67,67,Or HaNer,69826.0,161278.0,67870.0,62684.0,238043.0,114816.0,191474.0,18288.0,211890.0,71166.0,163596.0,73950.0,50472.0,84398.0,49919.0,172069.0,160324.0,73950.0,291379.0,83689.0,85524.0,180069.0,179048.0,82905.0,103150.0,87047.0,71574.0,74063.0,33140.0
2400,2400,Or Yehuda,7340.0,103113.0,10959.0,13721.0,164464.0,56652.0,133149.0,56790.0,138311.0,15327.0,105431.0,11464.0,105169.0,21911.0,30317.0,98489.0,102159.0,11464.0,346077.0,61960.0,63795.0,106490.0,105468.0,61176.0,44985.0,65318.0,9088.0,11576.0,39855.0
1020,1020,Or Aqiva,62139.0,41499.0,68850.0,60582.0,105949.0,8574.0,71695.0,110487.0,79797.0,54399.0,43817.0,57460.0,162066.0,48047.0,87284.0,53576.0,40545.0,57460.0,402974.0,118858.0,120692.0,54699.0,58377.0,118073.0,24180.0,122215.0,58202.0,57518.0,93551.0
780,780,Ora,65562.0,155798.0,52231.0,66027.0,207852.0,114250.0,176537.0,75790.0,181699.0,69211.0,155689.0,69560.0,97659.0,77290.0,53816.0,141877.0,154659.0,69560.0,324377.0,3156.0,16633.0,149878.0,148857.0,5623.0,102584.0,16816.0,67310.0,69672.0,63849.0
2012,2012,Orot,50200.0,141652.0,48244.0,43057.0,199097.0,95190.0,167782.0,23659.0,172944.0,51539.0,143970.0,54324.0,61670.0,64772.0,23048.0,133122.0,140697.0,54324.0,302577.0,56818.0,58653.0,141122.0,140101.0,56034.0,83524.0,60176.0,51948.0,54437.0,13514.0
4013,4013,Ortal,182754.0,118511.0,193429.0,193578.0,41945.0,138594.0,87558.0,237077.0,67091.0,187395.0,118402.0,180788.0,270700.0,165273.0,203604.0,88415.0,117372.0,180788.0,451192.0,227491.0,229326.0,82070.0,81393.0,226707.0,152796.0,201959.0,183050.0,175428.0,220142.0
403,403,Urim,105959.0,207438.0,98457.0,98817.0,259492.0,150949.0,228177.0,54421.0,233339.0,107299.0,207329.0,121199.0,37296.0,128930.0,92657.0,193517.0,206298.0,121199.0,254776.0,117563.0,119398.0,201517.0,200496.0,116779.0,139283.0,120921.0,107707.0,121312.0,69273.0
882,882,Oranim,93310.0,19608.0,103984.0,104133.0,73057.0,49149.0,39932.0,147633.0,46904.0,97950.0,19499.0,91343.0,181255.0,75828.0,114159.0,29770.0,18469.0,91343.0,422163.0,138046.0,139881.0,21711.0,25485.0,137262.0,63351.0,141404.0,93605.0,85983.0,130697.0
3760,3760,Oranit,27312.0,100096.0,37986.0,37627.0,152150.0,60729.0,120835.0,81635.0,125997.0,31444.0,99987.0,20284.0,115257.0,26166.0,48161.0,86175.0,98957.0,20284.0,356165.0,72048.0,73883.0,94176.0,93155.0,71264.0,49063.0,75406.0,24928.0,19477.0,64699.0
278,278,Usha,102689.0,20739.0,113363.0,113512.0,80401.0,58528.0,28360.0,157012.0,54248.0,107329.0,20630.0,100722.0,190634.0,85207.0,123538.0,47256.0,19599.0,100722.0,431542.0,147425.0,149260.0,33163.0,32518.0,146641.0,72730.0,150783.0,102984.0,95362.0,140076.0
565,565,Azor,10101.0,99927.0,8038.0,5738.0,167225.0,53465.0,130123.0,52013.0,141073.0,9815.0,102245.0,14225.0,98471.0,24673.0,25540.0,101251.0,98973.0,14225.0,339379.0,58933.0,60768.0,109251.0,108230.0,58149.0,41799.0,62291.0,11850.0,14338.0,35078.0
1157,1157,Ahawa,66406.0,156642.0,53076.0,66871.0,208696.0,115094.0,177381.0,95625.0,182543.0,70055.0,156533.0,70404.0,121969.0,78134.0,54660.0,142721.0,155503.0,70404.0,313398.0,11456.0,4233.0,150722.0,149701.0,6403.0,103428.0,5335.0,68154.0,70516.0,78689.0
821,821,Ahuzzam,71368.0,170579.0,61599.0,64225.0,222633.0,129031.0,191318.0,30476.0,196481.0,72707.0,170470.0,84341.0,36869.0,92072.0,41393.0,156659.0,169440.0,84341.0,277777.0,69044.0,76998.0,164659.0,163638.0,74379.0,117365.0,78520.0,73116.0,84453.0,38039.0
1330,1330,Ahuzzat Baraq,98806.0,57045.0,109481.0,109630.0,60735.0,54861.0,75101.0,153129.0,31134.0,103447.0,56936.0,96839.0,186752.0,81324.0,119656.0,7276.0,55905.0,96839.0,399355.0,143543.0,145378.0,20913.0,19892.0,142759.0,72557.0,146901.0,99102.0,91480.0,136193.0
785,785,Ahihud,114202.0,32586.0,124877.0,125026.0,45118.0,70041.0,17417.0,168525.0,56455.0,118843.0,33738.0,112235.0,202148.0,96720.0,135052.0,58769.0,32708.0,112235.0,443055.0,158939.0,160774.0,35370.0,34725.0,158155.0,84244.0,162297.0,114498.0,106876.0,151589.0
850,850,Ahituv,52817.0,63893.0,63492.0,59454.0,115947.0,18002.0,84632.0,107140.0,89794.0,53271.0,63784.0,50850.0,140763.0,34805.0,73667.0,49972.0,62753.0,50850.0,381670.0,97554.0,99389.0,57972.0,56951.0,96770.0,23051.0,100912.0,53113.0,45491.0,90204.0
804,804,Ahisamakh,24135.0,119082.0,10067.0,25079.0,171136.0,71435.0,139821.0,58327.0,144983.0,27785.0,118973.0,28259.0,82866.0,38707.0,12862.0,105161.0,116943.0,28259.0,323774.0,44524.0,46359.0,113162.0,112141.0,43740.0,59769.0,47882.0,25884.0,28372.0,41391.0
797,797,Ahi'ezer,14709.0,108470.0,12942.0,16753.0,168032.0,62009.0,136717.0,60430.0,141879.0,18358.0,110788.0,18833.0,95089.0,29280.0,20126.0,102057.0,107516.0,18833.0,335997.0,51880.0,53715.0,110058.0,109037.0,51096.0,50342.0,55238.0,16457.0,18945.0,43494.0
338,338,Ibbim,70566.0,162018.0,68610.0,63423.0,238138.0,115556.0,206823.0,24967.0,211985.0,71905.0,164336.0,74690.0,43943.0,85138.0,50014.0,172164.0,161063.0,74690.0,284851.0,83784.0,85619.0,180164.0,179143.0,83000.0,103890.0,87142.0,72314.0,74803.0,33880.0
716,716,Eyal,30016.0,81492.0,40691.0,40840.0,133546.0,44163.0,102231.0,84339.0,107394.0,34657.0,81383.0,28049.0,117962.0,12519.0,50866.0,67572.0,80353.0,28049.0,358869.0,74753.0,76588.0,75572.0,74551.0,73969.0,32759.0,78111.0,30312.0,22690.0,67403.0
77,77,Ayyelet HaShahar,162435.0,98192.0,173110.0,173259.0,21626.0,118275.0,67239.0,216758.0,59035.0,167076.0,98083.0,160468.0,250381.0,144953.0,183285.0,68095.0,97053.0,160468.0,491288.0,207172.0,209007.0,61750.0,61074.0,206388.0,132477.0,210530.0,162731.0,155109.0,199822.0
294,294,Elon,141721.0,52834.0,152395.0,146005.0,41328.0,95400.0,16484.0,196044.0,83973.0,139822.0,53987.0,139754.0,229666.0,124239.0,162570.0,86288.0,52957.0,139754.0,470574.0,186457.0,188292.0,62888.0,62243.0,185673.0,109603.0,189815.0,142016.0,134394.0,179108.0
1126,1126,Elot,336528.0,426764.0,317783.0,333063.0,478818.0,385216.0,447503.0,296954.0,401671.0,340177.0,426655.0,340526.0,234751.0,348256.0,311984.0,412844.0,425625.0,340526.0,4927.0,320954.0,305201.0,420844.0,419823.0,315415.0,373550.0,306007.0,338276.0,340638.0,304517.0
49,49,Ilaniyya,121514.0,57271.0,132189.0,132338.0,43260.0,77354.0,57625.0,175837.0,17466.0,126155.0,57162.0,119547.0,209460.0,104032.0,142364.0,22221.0,56132.0,119547.0,450367.0,166251.0,168086.0,20830.0,20153.0,165467.0,91556.0,169609.0,121810.0,114188.0,158901.0
2600,2600,Elat,339629.0,429865.0,320884.0,336164.0,481919.0,388317.0,450604.0,300055.0,404772.0,343278.0,429756.0,343626.0,237852.0,351357.0,315085.0,415944.0,428726.0,343626.0,1790.0,324055.0,308302.0,423945.0,422924.0,318516.0,376651.0,309108.0,341377.0,343739.0,307618.0
1336,1336,Irus,18332.0,112184.0,16376.0,14725.0,175456.0,65723.0,144141.0,47935.0,149303.0,22072.0,114502.0,22456.0,92647.0,32904.0,13240.0,109481.0,111230.0,22456.0,333554.0,54761.0,56596.0,117482.0,116461.0,53977.0,54056.0,58119.0,20080.0,22569.0,30999.0
3762,3762,Itamar,61851.0,115991.0,72525.0,72166.0,168045.0,73194.0,136730.0,116174.0,141892.0,65983.0,115882.0,54823.0,149796.0,60705.0,82700.0,102070.0,114852.0,54823.0,353370.0,106588.0,62486.0,110071.0,109050.0,105803.0,61234.0,64009.0,59467.0,54016.0,99238.0
37,37,Etan,70264.0,169476.0,60495.0,63122.0,221530.0,127928.0,190215.0,29373.0,195377.0,71604.0,169367.0,83237.0,39661.0,90968.0,40290.0,155555.0,168337.0,83237.0,280568.0,67941.0,75894.0,163556.0,162535.0,73275.0,116262.0,77417.0,72013.0,83350.0,36935.0
886,886,Etanim,55680.0,145916.0,42349.0,56145.0,197970.0,104368.0,166655.0,63077.0,171817.0,59329.0,145807.0,59678.0,93740.0,67408.0,34885.0,131995.0,144777.0,59678.0,334648.0,11244.0,19535.0,139996.0,138975.0,13108.0,92702.0,21058.0,57428.0,59790.0,51136.0
478,478,Iksal,99670.0,50858.0,110345.0,110494.0,64339.0,55725.0,57755.0,153993.0,34738.0,104311.0,50749.0,97703.0,187615.0,82188.0,120519.0,13860.0,49719.0,97703.0,428523.0,144407.0,146242.0,8439.0,9301.0,143623.0,73421.0,147764.0,99965.0,92344.0,137057.0
1339,1339,Al-Azy,53033.0,147052.0,38071.0,45890.0,199106.0,98022.0,167791.0,30943.0,172953.0,54372.0,146943.0,60814.0,66239.0,68544.0,23058.0,133131.0,145913.0,60814.0,307146.0,56828.0,58662.0,141132.0,140111.0,56043.0,86356.0,60185.0,54781.0,60926.0,24468.0
1316,1316,Al-Aryan,73014.0,59855.0,83689.0,83838.0,111909.0,29070.0,80594.0,127337.0,85756.0,77655.0,59746.0,71048.0,160960.0,55533.0,93864.0,32854.0,58716.0,71048.0,401867.0,117751.0,119586.0,40854.0,39833.0,116967.0,46765.0,121109.0,73310.0,65688.0,110402.0
4003,4003,El-Rom,196741.0,132499.0,207416.0,207565.0,55932.0,152581.0,97698.0,251065.0,81078.0,201382.0,132389.0,194775.0,284687.0,179260.0,217591.0,102402.0,131359.0,194775.0,465179.0,241478.0,243313.0,96057.0,95380.0,240694.0,166783.0,215946.0,197037.0,189415.0,234129.0
1359,1359,Al Sayyid,108202.0,198439.0,89458.0,104738.0,250493.0,156891.0,219178.0,68629.0,224340.0,111852.0,198330.0,112200.0,16775.0,119931.0,83658.0,184518.0,197299.0,112200.0,248659.0,108564.0,110399.0,192519.0,191498.0,107780.0,145224.0,111922.0,109951.0,112313.0,76191.0
1145,1145,Alumma,60877.0,154896.0,45915.0,53734.0,206950.0,105867.0,175635.0,19224.0,180797.0,62216.0,154787.0,68658.0,49620.0,76388.0,30902.0,140976.0,153757.0,68658.0,290527.0,64672.0,66507.0,148976.0,147955.0,63888.0,94200.0,68029.0,62625.0,68770.0,26786.0
330,330,Alummot,139314.0,75071.0,149988.0,150138.0,60996.0,95153.0,75425.0,193637.0,5943.0,143954.0,74962.0,137347.0,227259.0,121832.0,160163.0,32126.0,73931.0,137347.0,401847.0,184051.0,151808.0,38629.0,37952.0,183266.0,109355.0,152615.0,139609.0,131987.0,176701.0
1182,1182,Allon HaGalil,104145.0,34982.0,114820.0,114969.0,61742.0,59984.0,39581.0,158468.0,35589.0,108786.0,36135.0,102178.0,192091.0,86663.0,124995.0,30154.0,35104.0,102178.0,432998.0,148882.0,150717.0,14504.0,13859.0,148098.0,74187.0,152239.0,104441.0,96819.0,141532.0
3579,3579,Elon More,72436.0,126576.0,83111.0,82751.0,178630.0,83779.0,147315.0,126759.0,152477.0,76568.0,126467.0,65408.0,160381.0,71290.0,93285.0,112655.0,125437.0,65408.0,363955.0,117173.0,73071.0,120656.0,119635.0,116389.0,71819.0,74594.0,70052.0,64601.0,109823.0
3604,3604,Allon Shevut,74022.0,164258.0,60691.0,74487.0,216312.0,122710.0,184997.0,69044.0,190159.0,77671.0,164149.0,78019.0,83066.0,85750.0,52198.0,150337.0,163119.0,78019.0,323974.0,35756.0,56756.0,158338.0,157317.0,38774.0,111044.0,58279.0,75770.0,78132.0,63062.0
429,429,Allone Abba,98148.0,27431.0,108822.0,108972.0,74446.0,53987.0,43251.0,152471.0,48293.0,102788.0,27322.0,96181.0,186093.0,80666.0,118997.0,31158.0,26292.0,96181.0,427001.0,142885.0,144719.0,23100.0,26873.0,142100.0,68190.0,146242.0,98443.0,90821.0,135535.0
4017,4017,Allone HaBashan,187845.0,123602.0,198520.0,198669.0,56396.0,143685.0,92649.0,242168.0,64721.0,192486.0,123493.0,185879.0,275791.0,170364.0,208695.0,93506.0,122463.0,185879.0,448822.0,232582.0,198783.0,87161.0,86484.0,231798.0,157887.0,199589.0,188141.0,180519.0,225233.0
868,868,Allone Yizhaq,75491.0,50770.0,80422.0,72155.0,108642.0,18766.0,80966.0,122060.0,82489.0,65972.0,53088.0,73524.0,163436.0,49513.0,96341.0,41858.0,49816.0,73524.0,404344.0,120228.0,122063.0,49858.0,48837.0,119444.0,35753.0,123585.0,69775.0,68165.0,105124.0
285,285,Allonim,94736.0,24020.0,105411.0,105560.0,71034.0,50576.0,41602.0,149059.0,44881.0,99377.0,23911.0,92770.0,182682.0,77255.0,115586.0,27747.0,22880.0,92770.0,423589.0,139473.0,141308.0,19688.0,23462.0,138689.0,64778.0,142831.0,95032.0,87410.0,132124.0
4002,4002,Eli-Ad,173520.0,109277.0,184195.0,184344.0,57540.0,129359.0,93793.0,227843.0,40149.0,178161.0,109168.0,171553.0,261465.0,156038.0,194369.0,66333.0,108137.0,171553.0,422480.0,218257.0,172441.0,72835.0,72158.0,182655.0,143562.0,173247.0,173815.0,166194.0,210907.0
1365,1365,Eliav,80947.0,171183.0,62202.0,77482.0,223237.0,129635.0,191922.0,43954.0,197084.0,84596.0,171074.0,84945.0,41641.0,92675.0,56403.0,157262.0,170044.0,84945.0,278811.0,64126.0,71963.0,165263.0,164242.0,69344.0,117969.0,73486.0,82695.0,85057.0,61893.0
41,41,Elyakhin,46342.0,57927.0,55496.0,53295.0,118438.0,12085.0,87123.0,99144.0,92285.0,47112.0,60245.0,60344.0,150256.0,28646.0,83160.0,52463.0,56973.0,60344.0,391164.0,107048.0,108882.0,60464.0,59443.0,106263.0,16893.0,110405.0,42405.0,54984.0,82209.0
1248,1248,Elifaz,313656.0,403893.0,294912.0,310191.0,455947.0,362345.0,424632.0,274082.0,378799.0,317306.0,403784.0,317654.0,211879.0,325385.0,289112.0,389972.0,402753.0,317654.0,30180.0,298082.0,282329.0,397972.0,396951.0,292543.0,350678.0,283135.0,315404.0,317767.0,281645.0
730,730,Elifelet,149766.0,85523.0,160441.0,160590.0,12032.0,105606.0,54570.0,204089.0,46367.0,154407.0,85414.0,147800.0,237712.0,132285.0,170616.0,55427.0,84384.0,147800.0,478619.0,194503.0,196338.0,49082.0,48405.0,193719.0,119808.0,197861.0,150062.0,142440.0,187154.0
682,682,Elyaqim,79729.0,29679.0,90403.0,90553.0,81733.0,35568.0,50418.0,134052.0,55580.0,84369.0,29570.0,77762.0,167674.0,62247.0,100578.0,32823.0,28540.0,77762.0,408582.0,124466.0,126300.0,30483.0,34161.0,123681.0,49770.0,127823.0,80024.0,72402.0,117116.0
204,204,Elyashiv,41267.0,55992.0,50422.0,48220.0,123211.0,10150.0,91896.0,94070.0,97058.0,42037.0,58310.0,36588.0,140745.0,23572.0,67597.0,57236.0,55038.0,36588.0,381653.0,97537.0,99371.0,65237.0,64216.0,96752.0,11818.0,100894.0,37330.0,36842.0,77134.0
841,841,Elishama,21197.0,91106.0,30352.0,29959.0,147287.0,44644.0,115972.0,74000.0,121134.0,23776.0,93424.0,12616.0,115008.0,7684.0,47912.0,81312.0,90152.0,12616.0,355915.0,71799.0,73634.0,89313.0,88292.0,71015.0,32978.0,75157.0,17260.0,11809.0,57064.0
1125,1125,Almagor,153703.0,89460.0,164378.0,164527.0,22254.0,109542.0,58506.0,208026.0,33504.0,158344.0,89351.0,151736.0,241648.0,136221.0,174553.0,59363.0,88321.0,151736.0,429178.0,198440.0,200275.0,53018.0,52341.0,197656.0,123745.0,201797.0,153999.0,146377.0,191090.0
3556,3556,Almog,91042.0,181278.0,77712.0,91507.0,175931.0,139730.0,202017.0,120261.0,132016.0,94692.0,181169.0,95040.0,146605.0,102771.0,79297.0,123120.0,180139.0,95040.0,285562.0,44066.0,28313.0,134793.0,133772.0,38527.0,128064.0,29119.0,92790.0,95152.0,103326.0
