code,name,population,lat,long,closestHospName,closestHospDist,closestTertHospName,closestTertHospDist
892,Avdon,653.0,33.048792,35.17912800000001,Nahariya,9,Rambam,45
3786,Avenat,185.0,31.679039000000003,35.436945,Hadasa Har Hazofim,46,Hadasa Ein Carem,62
679,Avi'el,815.0,32.531346,34.993493,Hilel Yafe,19,Rambam,51
1070,Avi'ezer,865.0,31.681996,35.018821,Hadasa Ein Carem,30,Hadasa Ein Carem,30
819,Avigedor,820.0,31.711901,34.740369,Asuta Ashdod,16,Shiba,52
175,Avihayil,1410.0,32.350708000000004,34.871229,Laniado,2,Ichilov,34
2052,Avital,502.0,32.557676,35.306412,Haemek,11,Rambam,50
1115,Avivim,477.0,33.089381,35.470338,Ziv,23,Rambam,81
4011,Avne Etan,714.0,32.824808000000004,35.765777,Poriya,42,Rambam,111
3793,Avne Hefez,1895.0,32.284628000000005,35.074551,Meir,26,Belinson,44
1311,Avshalom,274.0,31.195397,34.3312,Soroka,64,Soroka,64
1275,Avtalyon,470.0,32.835781,35.350442,Holy Family,36,Rambam,40
156,Ayanot,390.0,31.9158,34.768097,Kaplan,9,Shiba,19
77,Ayyelet HaShahar,1134.0,33.021115,35.576732,Ziv,21,Rambam,98
711,Azarya,1226.0,31.890495,34.911871999999995,Asaf Harofe,14,Shiba,33
565,Azor,12854.0,32.0245041,34.8058575,Wolfson,5,Ichilov,9
837,Azri'el,918.0,32.262840999999995,34.971133,Meir,17,Belinson,30
817,Azriqam,1455.0,31.751695,34.694818,Asuta Ashdod,9,Shiba,45
2043,Bahan,1054.0,32.351831,35.018542,Laniado,21,Belinson,45
94,Balfurya,512.0,32.629988,35.296281,Haemek,5,Rambam,49
6000,Baqa Al-Gharbiyye,29393.0,32.422891,35.035764,Hilel Yafe,18,Belinson,53
823,Bar Giyyora,672.0,31.729683,35.073414,Hadasa Ein Carem,15,Hadasa Ein Carem,15
1191,Bar Yohay,1062.0,32.997704,35.44819000000001,Ziv,11,Rambam,68
667,Bar'am,590.0,33.058979,35.433235,Ziv,21,Rambam,74
141,Baraq,410.0,30.400899,35.113896000000004,Yoseftal,103,Soroka,143
2038,Bareqet,2035.0,32.018344,34.943179,Shiba,14,Shiba,14
3654,Barqan,1833.0,32.109487,35.106008,Asaf Harofe,32,Belinson,33
617,Barqay,542.0,32.476096000000005,35.031044,Hilel Yafe,17,Rambam,50
1326,Basma,9779.0,32.529401,35.103199,Haemek,25,Rambam,48
944,Basmat Tab'un,7835.0,32.736287,35.1532,Carmel,22,Rambam,23
3794,Bat Ayin,1545.0,31.657653000000003,35.101101,Hadasa Ein Carem,37,Hadasa Ein Carem,37
1323,Bat Hadar,763.0,31.648125,34.597146,Barzilay,9,Shiba,56
1319,Bat Hefer,5342.0,32.333714,35.013729,Laniado,20,Belinson,43
1361,Bat Hen,411.0,32.360194,34.872388,Laniado,6,Ichilov,36
33,Bat Shelomo,651.0,32.600335,35.003837,Hilel Yafe,27,Rambam,39
6200,Bat Yam,128774.0,32.013186,34.748019,Wolfson,4,Ichilov,12
389,Bazra,1217.0,32.214541,34.878122999999995,Meir,5,Belinson,18
1376,Be'er Gannim,1295.0,31.700354,34.610934,Barzilay,9,Shiba,51
1278,Be'er Milka,189.0,30.934112,34.405643,Soroka,78,Soroka,78
21,Be'er Ora,965.0,29.710166,34.987218,Yoseftal,20,Soroka,220
9000,Be'er Sheva,209002.0,31.252973,34.791462,Soroka,1,Soroka,1
155,Be'er Toviyya,1214.0,31.737127,34.725570000000005,Asuta Ashdod,12,Shiba,49
2530,Be'er Ya'aqov,26122.0,31.943507,34.839040000000004,Asaf Harofe,5,Shiba,17
399,Be'eri,1037.0,31.424513,34.492567,Barzilay,35,Soroka,48
450,Be'erot Yizhaq,420.0,32.042025,34.910221,Belinson,10,Belinson,10
697,Be'erotayim,1154.0,32.321039,34.98343,Laniado,16,Belinson,42
480,Beit Jann,11864.0,32.965655,35.381268,Ziv,30,Rambam,60
712,Ben Ammi,775.0,33.005369,35.122218,Nahariya,0,Rambam,37
2013,Ben Shemen (Moshav),865.0,31.958896000000006,34.934104,Asaf Harofe,14,Shiba,21
1084,Ben Shemen(K.No'ar),617.0,31.959019,34.927831,Asaf Harofe,13,Shiba,21
760,Ben Zakkay,1115.0,31.857223,34.727432,Kaplan,11,Shiba,27
685,Benaya,808.0,31.843444,34.751793,Kaplan,12,Shiba,40
448,Bene Atarot,975.0,32.02147,34.910146000000005,Shiba,10,Shiba,10
1066,Bene Ayish,7017.0,31.790235,34.759291,Kaplan,12,Shiba,42
6100,Bene Beraq,198863.0,32.084932,34.835226,Mayney Hayeshua,1,Belinson,4
592,Bene Darom,847.0,31.820870000000006,34.691609,Asuta Ashdod,11,Shiba,35
386,Bene Deror,1221.0,32.261795,34.901791,Meir,11,Belinson,24
588,Bene Re'em,1387.0,31.769972,34.790463,Kaplan,16,Shiba,46
